CASENUM,REGION,MONTH,YEAR,DAY_WEEKNAME,LGTCON_IM,WEATHR_IM
2.02002E+11,3,1,2020,Thursday,1,2
2.02002E+11,3,1,2020,Friday,3,1
2.02002E+11,3,1,2020,Friday,1,1
2.02002E+11,3,1,2020,Wednesday,1,1
2.02002E+11,3,1,2020,Sunday,1,1
2.02002E+11,3,2,2020,Monday,1,1
2.02002E+11,3,2,2020,Saturday,1,10
2.02002E+11,3,1,2020,Thursday,1,1
2.02002E+11,3,1,2020,Wednesday,2,2
2.02002E+11,3,1,2020,Saturday,1,1
2.02002E+11,3,2,2020,Monday,1,1
2.02002E+11,3,2,2020,Sunday,3,1
2.02002E+11,3,2,2020,Sunday,1,1
2.02002E+11,3,2,2020,Tuesday,1,1
2.02002E+11,3,2,2020,Tuesday,1,1
2.02002E+11,3,1,2020,Thursday,2,1
2.02002E+11,3,2,2020,Sunday,1,1
2.02002E+11,3,2,2020,Monday,1,1
2.02002E+11,3,2,2020,Saturday,1,1
2.02002E+11,2,1,2020,Thursday,3,10
2.02002E+11,2,1,2020,Wednesday,1,10
2.02002E+11,3,2,2020,Tuesday,2,2
2.02002E+11,3,2,2020,Tuesday,1,1
2.02002E+11,3,1,2020,Friday,3,2
2.02002E+11,3,2,2020,Monday,1,1
2.02002E+11,3,2,2020,Sunday,3,1
2.02002E+11,3,2,2020,Sunday,1,1
2.02002E+11,2,1,2020,Wednesday,2,4
2.02002E+11,2,1,2020,Friday,2,10
2.02002E+11,2,1,2020,Wednesday,2,4
2.02002E+11,4,1,2020,Thursday,1,1
2.02002E+11,4,1,2020,Wednesday,1,1
2.02002E+11,4,1,2020,Wednesday,1,1
2.02002E+11,4,1,2020,Sunday,2,1
2.02002E+11,4,1,2020,Thursday,1,1
2.02002E+11,4,1,2020,Saturday,3,2
2.02002E+11,4,1,2020,Friday,1,1
2.02002E+11,4,1,2020,Tuesday,1,10
2.02002E+11,4,2,2020,Monday,2,1
2.02002E+11,4,1,2020,Saturday,3,1
2.02002E+11,4,1,2020,Wednesday,1,6
2.02002E+11,4,1,2020,Monday,1,1
2.02002E+11,4,1,2020,Wednesday,3,1
2.02002E+11,4,1,2020,Tuesday,1,1
2.02002E+11,4,1,2020,Wednesday,3,1
2.02002E+11,3,2,2020,Monday,5,10
2.02002E+11,3,1,2020,Sunday,1,1
2.02002E+11,3,1,2020,Wednesday,1,1
2.02002E+11,3,1,2020,Tuesday,1,1
2.02002E+11,3,1,2020,Friday,2,2
2.02002E+11,3,2,2020,Tuesday,1,1
2.02002E+11,3,1,2020,Monday,1,1
2.02002E+11,3,2,2020,Monday,1,1
2.02002E+11,3,2,2020,Monday,1,1
2.02002E+11,3,2,2020,Monday,3,1
2.02002E+11,4,2,2020,Tuesday,1,1
2.02002E+11,4,2,2020,Tuesday,1,1
2.02002E+11,3,2,2020,Monday,1,1
2.02002E+11,2,1,2020,Wednesday,6,10
2.02002E+11,2,1,2020,Thursday,5,10
2.02002E+11,3,2,2020,Monday,2,1
2.02002E+11,3,1,2020,Wednesday,1,1
2.02002E+11,3,2,2020,Sunday,1,1
2.02002E+11,3,2,2020,Monday,4,1
2.02002E+11,3,2,2020,Monday,1,1
2.02002E+11,3,2,2020,Monday,1,1
2.02002E+11,3,1,2020,Tuesday,1,1
2.02002E+11,3,1,2020,Wednesday,2,1
2.02002E+11,3,1,2020,Sunday,1,1
2.02002E+11,3,1,2020,Monday,2,2
2.02002E+11,2,1,2020,Tuesday,1,1
2.02002E+11,3,1,2020,Friday,1,2
2.02002E+11,3,1,2020,Sunday,3,1
2.02002E+11,2,1,2020,Tuesday,3,1
2.02002E+11,2,1,2020,Tuesday,1,1
2.02002E+11,3,1,2020,Friday,1,2
2.02002E+11,3,1,2020,Tuesday,2,10
2.02002E+11,2,1,2020,Friday,3,1
2.02002E+11,2,1,2020,Wednesday,2,1
2.02002E+11,4,1,2020,Thursday,2,1
2.02002E+11,4,1,2020,Friday,1,1
2.02002E+11,2,1,2020,Saturday,3,4
2.02002E+11,3,1,2020,Saturday,1,10
2.02002E+11,3,1,2020,Wednesday,1,1
2.02002E+11,3,1,2020,Monday,1,10
2.02002E+11,2,1,2020,Sunday,1,1
2.02002E+11,3,1,2020,Tuesday,1,2
2.02002E+11,2,1,2020,Wednesday,3,1
2.02002E+11,3,1,2020,Tuesday,2,1
2.02002E+11,3,1,2020,Thursday,4,10
2.02002E+11,3,1,2020,Friday,1,1
2.02002E+11,2,1,2020,Friday,3,2
2.02002E+11,3,1,2020,Saturday,3,2
2.02002E+11,3,1,2020,Monday,3,10
2.02002E+11,2,1,2020,Saturday,3,4
2.02002E+11,3,1,2020,Thursday,1,2
2.02002E+11,2,1,2020,Thursday,1,10
2.02002E+11,2,1,2020,Sunday,3,1
2.02002E+11,3,1,2020,Friday,2,2
2.02002E+11,2,1,2020,Thursday,1,1
2.02002E+11,2,1,2020,Saturday,1,10
2.02002E+11,3,1,2020,Thursday,1,1
2.02002E+11,3,1,2020,Saturday,2,2
2.02002E+11,2,1,2020,Friday,3,4
2.02002E+11,3,1,2020,Saturday,1,10
2.02002E+11,3,1,2020,Monday,3,10
2.02002E+11,3,1,2020,Sunday,1,1
2.02002E+11,3,1,2020,Tuesday,3,2
2.02002E+11,3,1,2020,Monday,4,10
2.02002E+11,3,1,2020,Tuesday,3,1
2.02002E+11,3,1,2020,Thursday,1,10
2.02002E+11,3,1,2020,Wednesday,1,10
2.02002E+11,3,1,2020,Wednesday,2,10
2.02002E+11,3,1,2020,Saturday,3,2
2.02002E+11,3,1,2020,Friday,3,1
2.02002E+11,3,1,2020,Monday,1,1
2.02002E+11,3,1,2020,Wednesday,1,10
2.02002E+11,4,1,2020,Sunday,1,1
2.02002E+11,4,1,2020,Wednesday,1,1
2.02002E+11,3,1,2020,Wednesday,2,1
2.02002E+11,3,1,2020,Friday,1,10
2.02002E+11,3,1,2020,Tuesday,1,10
2.02002E+11,3,2,2020,Tuesday,1,10
2.02002E+11,3,2,2020,Wednesday,1,2
2.02002E+11,3,2,2020,Wednesday,1,2
2.02002E+11,3,2,2020,Wednesday,1,1
2.02002E+11,3,1,2020,Wednesday,1,1
2.02002E+11,3,1,2020,Friday,2,1
2.02002E+11,3,1,2020,Saturday,3,1
2.02002E+11,3,1,2020,Thursday,3,1
2.02002E+11,3,2,2020,Monday,1,1
2.02002E+11,3,2,2020,Wednesday,1,2
2.02002E+11,3,1,2020,Wednesday,3,1
2.02002E+11,3,2,2020,Tuesday,1,1
2.02002E+11,3,2,2020,Tuesday,3,1
2.02002E+11,3,2,2020,Sunday,1,1
2.02002E+11,3,2,2020,Tuesday,1,1
2.02002E+11,3,2,2020,Tuesday,3,1
2.02002E+11,3,2,2020,Wednesday,3,1
2.02002E+11,3,2,2020,Saturday,1,10
2.02002E+11,3,1,2020,Friday,1,10
2.02002E+11,3,2,2020,Tuesday,1,1
2.02002E+11,3,2,2020,Wednesday,1,1
2.02002E+11,3,2,2020,Tuesday,3,1
2.02002E+11,3,2,2020,Wednesday,1,2
2.02002E+11,3,2,2020,Wednesday,3,10
2.02002E+11,1,2,2020,Thursday,1,4
2.02002E+11,4,1,2020,Friday,1,1
2.02002E+11,4,1,2020,Monday,1,1
2.02002E+11,4,1,2020,Tuesday,1,1
2.02002E+11,3,1,2020,Saturday,2,1
2.02002E+11,3,1,2020,Thursday,1,2
2.02002E+11,3,2,2020,Thursday,2,2
2.02002E+11,3,2,2020,Thursday,1,10
2.02002E+11,3,1,2020,Thursday,2,2
2.02002E+11,3,1,2020,Friday,1,2
2.02002E+11,3,1,2020,Sunday,1,1
2.02002E+11,3,1,2020,Monday,2,1
2.02002E+11,3,1,2020,Thursday,2,1
2.02002E+11,3,1,2020,Saturday,1,2
2.02002E+11,3,1,2020,Tuesday,5,1
2.02002E+11,2,1,2020,Wednesday,1,1
2.02002E+11,2,1,2020,Tuesday,1,1
2.02002E+11,2,1,2020,Friday,3,2
2.02002E+11,2,1,2020,Wednesday,1,1
2.02002E+11,2,1,2020,Friday,3,1
2.02002E+11,2,1,2020,Friday,1,1
2.02002E+11,2,1,2020,Friday,1,1
2.02002E+11,2,1,2020,Saturday,3,1
2.02002E+11,2,1,2020,Thursday,2,1
2.02002E+11,2,1,2020,Monday,1,1
2.02002E+11,4,1,2020,Tuesday,1,10
2.02002E+11,4,1,2020,Monday,1,1
2.02002E+11,4,1,2020,Monday,1,1
2.02002E+11,4,1,2020,Tuesday,1,1
2.02002E+11,2,1,2020,Saturday,1,10
2.02002E+11,2,1,2020,Sunday,2,1
2.02002E+11,2,1,2020,Thursday,1,3
2.02002E+11,2,1,2020,Thursday,3,1
2.02002E+11,2,1,2020,Saturday,1,2
2.02002E+11,2,1,2020,Sunday,2,2
2.02002E+11,2,1,2020,Thursday,1,2
2.02002E+11,2,1,2020,Friday,2,1
2.02002E+11,4,1,2020,Sunday,1,10
2.02002E+11,4,1,2020,Saturday,3,1
2.02002E+11,4,1,2020,Monday,3,1
2.02002E+11,4,1,2020,Tuesday,1,1
2.02002E+11,4,2,2020,Wednesday,1,1
2.02002E+11,4,1,2020,Friday,3,1
2.02002E+11,4,2,2020,Sunday,1,1
2.02002E+11,4,1,2020,Wednesday,1,1
2.02002E+11,4,1,2020,Friday,1,1
2.02002E+11,3,2,2020,Saturday,3,1
2.02002E+11,3,2,2020,Saturday,1,1
2.02002E+11,3,2,2020,Wednesday,1,10
2.02002E+11,3,1,2020,Saturday,3,1
2.02002E+11,3,1,2020,Thursday,1,1
2.02002E+11,3,2,2020,Saturday,3,1
2.02002E+11,3,1,2020,Wednesday,1,1
2.02002E+11,3,2,2020,Monday,3,1
2.02002E+11,3,2,2020,Monday,3,1
2.02002E+11,3,1,2020,Wednesday,1,1
2.02002E+11,4,2,2020,Wednesday,1,10
2.02002E+11,3,2,2020,Saturday,2,1
2.02002E+11,3,2,2020,Tuesday,1,2
2.02002E+11,3,2,2020,Wednesday,3,2
2.02002E+11,3,1,2020,Tuesday,3,1
2.02002E+11,3,1,2020,Friday,5,2
2.02002E+11,3,1,2020,Friday,1,10
2.02002E+11,3,2,2020,Wednesday,3,1
2.02002E+11,3,2,2020,Thursday,1,10
2.02002E+11,2,1,2020,Thursday,2,1
2.02002E+11,2,1,2020,Thursday,2,12
2.02002E+11,2,1,2020,Friday,1,10
2.02002E+11,2,2,2020,Thursday,1,10
2.02002E+11,2,2,2020,Wednesday,1,10
2.02002E+11,3,1,2020,Wednesday,1,1
2.02002E+11,3,2,2020,Tuesday,2,1
2.02002E+11,3,2,2020,Saturday,1,2
2.02002E+11,3,1,2020,Friday,6,1
2.02002E+11,3,2,2020,Sunday,2,1
2.02002E+11,3,1,2020,Monday,3,1
2.02002E+11,3,2,2020,Wednesday,3,1
2.02002E+11,3,2,2020,Thursday,1,1
2.02002E+11,3,2,2020,Wednesday,1,1
2.02002E+11,3,1,2020,Friday,3,2
2.02002E+11,3,2,2020,Wednesday,1,10
2.02002E+11,3,1,2020,Thursday,6,1
2.02002E+11,3,1,2020,Friday,1,1
2.02002E+11,3,2,2020,Thursday,1,2
2.02002E+11,3,1,2020,Thursday,2,1
2.02002E+11,3,2,2020,Tuesday,1,2
2.02002E+11,3,2,2020,Monday,2,1
2.02002E+11,3,2,2020,Tuesday,3,2
2.02002E+11,2,1,2020,Saturday,1,10
2.02002E+11,2,2,2020,Thursday,2,10
2.02002E+11,4,1,2020,Tuesday,1,1
2.02002E+11,4,1,2020,Tuesday,1,1
2.02002E+11,4,1,2020,Thursday,3,1
2.02002E+11,4,2,2020,Saturday,3,1
2.02002E+11,4,2,2020,Sunday,1,1
2.02002E+11,2,1,2020,Friday,1,10
2.02002E+11,4,2,2020,Sunday,1,1
2.02002E+11,4,2,2020,Sunday,3,1
2.02002E+11,4,2,2020,Tuesday,1,1
2.02002E+11,4,2,2020,Monday,2,11
2.02002E+11,3,2,2020,Monday,1,1
2.02002E+11,3,2,2020,Thursday,2,2
2.02002E+11,3,1,2020,Thursday,1,10
2.02002E+11,2,2,2020,Thursday,1,1
2.02002E+11,3,2,2020,Friday,1,4
2.02002E+11,3,2,2020,Saturday,1,1
2.02002E+11,3,2,2020,Monday,2,1
2.02002E+11,3,2,2020,Wednesday,1,2
2.02002E+11,3,1,2020,Wednesday,3,1
2.02002E+11,3,2,2020,Monday,1,1
2.02002E+11,3,2,2020,Tuesday,1,2
2.02002E+11,3,2,2020,Wednesday,2,1
2.02002E+11,3,2,2020,Wednesday,1,2
2.02002E+11,3,2,2020,Wednesday,1,2
2.02002E+11,3,2,2020,Wednesday,3,2
2.02002E+11,3,1,2020,Tuesday,1,1
2.02002E+11,3,1,2020,Friday,1,1
2.02002E+11,3,2,2020,Friday,1,2
2.02002E+11,3,2,2020,Thursday,1,1
2.02002E+11,3,2,2020,Monday,1,1
2.02002E+11,3,2,2020,Wednesday,1,1
2.02002E+11,3,2,2020,Friday,1,2
2.02002E+11,3,2,2020,Friday,4,2
2.02002E+11,3,2,2020,Friday,1,2
2.02002E+11,3,2,2020,Thursday,3,1
2.02002E+11,3,2,2020,Saturday,3,1
2.02002E+11,3,2,2020,Tuesday,1,1
2.02002E+11,3,2,2020,Tuesday,1,1
2.02002E+11,3,2,2020,Wednesday,1,10
2.02002E+11,3,2,2020,Thursday,2,6
2.02002E+11,3,2,2020,Tuesday,1,1
2.02002E+11,3,2,2020,Monday,3,1
2.02002E+11,3,2,2020,Friday,3,2
2.02002E+11,3,2,2020,Monday,3,1
2.02002E+11,3,2,2020,Saturday,1,2
2.02002E+11,3,2,2020,Monday,1,1
2.02002E+11,3,2,2020,Monday,1,1
2.02002E+11,3,2,2020,Tuesday,6,1
2.02002E+11,3,2,2020,Thursday,1,2
2.02002E+11,3,2,2020,Thursday,1,2
2.02002E+11,3,2,2020,Thursday,2,2
2.02002E+11,3,2,2020,Thursday,3,2
2.02002E+11,4,2,2020,Friday,2,1
2.02002E+11,3,2,2020,Monday,1,1
2.02002E+11,3,2,2020,Monday,5,1
2.02002E+11,3,2,2020,Wednesday,3,2
2.02002E+11,3,2,2020,Friday,4,4
2.02002E+11,3,1,2020,Friday,1,1
2.02002E+11,3,2,2020,Thursday,1,2
2.02002E+11,3,2,2020,Saturday,2,1
2.02002E+11,3,2,2020,Thursday,1,10
2.02002E+11,3,2,2020,Monday,1,1
2.02002E+11,3,2,2020,Sunday,2,1
2.02002E+11,3,2,2020,Tuesday,1,2
2.02002E+11,3,2,2020,Tuesday,1,2
2.02002E+11,3,2,2020,Tuesday,3,10
2.02002E+11,3,2,2020,Wednesday,1,2
2.02002E+11,3,2,2020,Wednesday,1,2
2.02002E+11,3,2,2020,Wednesday,1,10
2.02002E+11,3,2,2020,Wednesday,3,2
2.02002E+11,3,2,2020,Thursday,3,2
2.02002E+11,3,2,2020,Thursday,5,10
2.02002E+11,3,2,2020,Friday,1,1
2.02002E+11,3,2,2020,Friday,1,10
2.02002E+11,3,2,2020,Saturday,1,1
2.02002E+11,3,2,2020,Sunday,3,1
2.02002E+11,3,2,2020,Wednesday,1,2
2.02002E+11,3,2,2020,Thursday,1,10
2.02002E+11,3,2,2020,Thursday,1,10
2.02002E+11,3,2,2020,Friday,1,10
2.02002E+11,3,2,2020,Saturday,3,1
2.02002E+11,3,2,2020,Sunday,1,1
2.02002E+11,3,2,2020,Sunday,2,1
2.02002E+11,3,2,2020,Monday,1,1
2.02002E+11,3,2,2020,Monday,1,1
2.02002E+11,3,2,2020,Monday,1,1
2.02002E+11,3,2,2020,Tuesday,1,2
2.02002E+11,3,2,2020,Tuesday,1,10
2.02002E+11,3,2,2020,Tuesday,2,10
2.02002E+11,3,2,2020,Wednesday,1,2
2.02002E+11,3,2,2020,Wednesday,5,2
2.02002E+11,3,2,2020,Wednesday,3,2
2.02002E+11,3,2,2020,Wednesday,2,2
2.02002E+11,3,2,2020,Thursday,4,2
2.02002E+11,3,2,2020,Thursday,1,2
2.02002E+11,3,2,2020,Thursday,1,2
2.02002E+11,3,2,2020,Thursday,3,2
2.02002E+11,3,2,2020,Thursday,3,2
2.02002E+11,3,2,2020,Thursday,3,10
2.02002E+11,3,2,2020,Thursday,1,2
2.02002E+11,3,2,2020,Friday,1,1
2.02002E+11,3,2,2020,Friday,1,10
2.02002E+11,3,2,2020,Friday,1,1
2.02002E+11,3,2,2020,Saturday,1,1
2.02002E+11,3,2,2020,Saturday,1,1
2.02002E+11,3,2,2020,Saturday,1,1
2.02002E+11,3,2,2020,Sunday,3,1
2.02002E+11,3,2,2020,Saturday,1,1
2.02002E+11,3,2,2020,Monday,1,1
2.02002E+11,3,2,2020,Tuesday,1,2
2.02002E+11,3,2,2020,Tuesday,1,10
2.02002E+11,3,2,2020,Wednesday,1,10
2.02002E+11,3,1,2020,Friday,3,2
2.02002E+11,3,2,2020,Saturday,1,1
2.02002E+11,3,2,2020,Thursday,1,1
2.02002E+11,3,1,2020,Wednesday,1,1
2.02002E+11,3,2,2020,Friday,1,1
2.02002E+11,3,2,2020,Saturday,1,1
2.02002E+11,3,2,2020,Sunday,2,1
2.02002E+11,3,2,2020,Friday,1,1
2.02002E+11,3,2,2020,Saturday,3,1
2.02002E+11,1,2,2020,Wednesday,1,1
2.02002E+11,2,2,2020,Sunday,4,4
2.02002E+11,2,1,2020,Thursday,1,10
2.02002E+11,2,1,2020,Friday,1,2
2.02002E+11,2,2,2020,Tuesday,3,1
2.02002E+11,2,2,2020,Tuesday,3,2
2.02002E+11,2,1,2020,Tuesday,1,10
2.02002E+11,2,2,2020,Sunday,1,10
2.02002E+11,2,2,2020,Thursday,1,2
2.02002E+11,2,2,2020,Tuesday,3,2
2.02002E+11,2,2,2020,Thursday,1,2
2.02002E+11,2,2,2020,Friday,1,10
2.02002E+11,2,1,2020,Saturday,3,10
2.02002E+11,2,1,2020,Tuesday,2,1
2.02002E+11,2,1,2020,Tuesday,2,1
2.02002E+11,2,2,2020,Monday,2,10
2.02002E+11,2,2,2020,Sunday,1,1
2.02002E+11,2,2,2020,Sunday,2,10
2.02002E+11,2,1,2020,Monday,2,10
2.02002E+11,2,2,2020,Tuesday,2,2
2.02002E+11,2,2,2020,Friday,1,4
2.02002E+11,2,2,2020,Sunday,1,1
2.02002E+11,2,2,2020,Sunday,1,1
2.02002E+11,2,2,2020,Monday,1,1
2.02002E+11,2,1,2020,Friday,3,2
2.02002E+11,2,1,2020,Sunday,1,10
2.02002E+11,2,2,2020,Monday,1,1
2.02002E+11,2,2,2020,Saturday,1,2
2.02002E+11,2,1,2020,Friday,1,10
2.02002E+11,2,2,2020,Monday,3,2
2.02002E+11,2,2,2020,Tuesday,1,2
2.02002E+11,2,2,2020,Monday,1,1
2.02002E+11,2,2,2020,Monday,1,1
2.02002E+11,2,2,2020,Tuesday,1,2
2.02002E+11,2,1,2020,Thursday,1,10
2.02002E+11,2,2,2020,Tuesday,1,2
2.02002E+11,2,2,2020,Sunday,3,1
2.02002E+11,2,2,2020,Wednesday,1,10
2.02002E+11,2,2,2020,Sunday,3,10
2.02002E+11,2,2,2020,Thursday,1,2
2.02002E+11,2,2,2020,Thursday,1,2
2.02002E+11,2,2,2020,Wednesday,1,10
2.02002E+11,2,2,2020,Wednesday,1,10
2.02002E+11,2,1,2020,Friday,1,10
2.02002E+11,2,2,2020,Tuesday,2,2
2.02002E+11,2,2,2020,Sunday,3,1
2.02002E+11,2,2,2020,Wednesday,3,10
2.02002E+11,2,2,2020,Thursday,1,2
2.02002E+11,2,2,2020,Thursday,3,2
2.02002E+11,2,2,2020,Saturday,1,4
2.02002E+11,2,2,2020,Friday,3,4
2.02002E+11,2,1,2020,Tuesday,1,1
2.02002E+11,2,1,2020,Thursday,1,1
2.02002E+11,2,2,2020,Thursday,3,2
2.02002E+11,2,2,2020,Sunday,4,1
2.02002E+11,2,2,2020,Monday,2,1
2.02002E+11,2,2,2020,Thursday,2,1
2.02002E+11,2,2,2020,Friday,6,4
2.02002E+11,2,2,2020,Friday,1,10
2.02002E+11,2,1,2020,Friday,1,10
2.02002E+11,2,2,2020,Tuesday,1,2
2.02002E+11,2,2,2020,Monday,3,1
2.02002E+11,2,2,2020,Monday,1,1
2.02002E+11,2,2,2020,Thursday,3,2
2.02002E+11,3,1,2020,Monday,1,1
2.02002E+11,3,2,2020,Monday,1,1
2.02002E+11,2,2,2020,Tuesday,2,1
2.02002E+11,4,2,2020,Monday,1,1
2.02002E+11,4,2,2020,Monday,1,1
2.02002E+11,4,2,2020,Monday,2,11
2.02002E+11,4,2,2020,Monday,2,4
2.02002E+11,3,2,2020,Thursday,3,2
2.02002E+11,2,2,2020,Monday,1,1
2.02002E+11,3,2,2020,Tuesday,1,10
2.02002E+11,3,2,2020,Wednesday,1,2
2.02002E+11,3,2,2020,Thursday,1,2
2.02002E+11,3,2,2020,Friday,1,1
2.02002E+11,3,2,2020,Thursday,2,2
2.02002E+11,3,2,2020,Wednesday,1,2
2.02002E+11,3,2,2020,Thursday,1,1
2.02002E+11,3,2,2020,Friday,3,1
2.02002E+11,3,1,2020,Friday,1,10
2.02002E+11,3,1,2020,Monday,1,1
2.02002E+11,3,1,2020,Tuesday,4,10
2.02002E+11,3,1,2020,Saturday,4,10
2.02002E+11,3,1,2020,Monday,1,10
2.02002E+11,3,1,2020,Wednesday,1,10
2.02002E+11,3,1,2020,Thursday,1,1
2.02002E+11,3,1,2020,Saturday,1,10
2.02002E+11,2,1,2020,Friday,2,4
2.02002E+11,2,1,2020,Friday,3,4
2.02002E+11,2,1,2020,Friday,5,4
2.02002E+11,2,1,2020,Wednesday,1,1
2.02002E+11,3,1,2020,Friday,3,2
2.02002E+11,3,1,2020,Wednesday,1,1
2.02002E+11,3,1,2020,Thursday,1,1
2.02002E+11,3,1,2020,Friday,3,1
2.02002E+11,4,1,2020,Thursday,3,1
2.02002E+11,3,1,2020,Friday,2,2
2.02002E+11,3,1,2020,Friday,2,10
2.02002E+11,3,1,2020,Saturday,2,2
2.02002E+11,3,1,2020,Thursday,1,10
2.02002E+11,3,1,2020,Sunday,1,10
2.02002E+11,3,1,2020,Thursday,2,10
2.02002E+11,2,1,2020,Wednesday,2,1
2.02002E+11,2,1,2020,Saturday,3,4
2.02002E+11,2,1,2020,Tuesday,2,1
2.02002E+11,2,1,2020,Wednesday,1,10
2.02002E+11,3,1,2020,Friday,2,2
2.02002E+11,3,1,2020,Tuesday,3,1
2.02002E+11,3,1,2020,Saturday,2,2
2.02002E+11,3,1,2020,Monday,2,1
2.02002E+11,3,1,2020,Monday,1,1
2.02002E+11,3,1,2020,Wednesday,4,1
2.02002E+11,3,1,2020,Wednesday,1,1
2.02002E+11,3,1,2020,Sunday,6,1
2.02002E+11,3,1,2020,Wednesday,1,1
2.02002E+11,3,1,2020,Wednesday,1,1
2.02002E+11,3,1,2020,Monday,2,1
2.02002E+11,2,1,2020,Wednesday,2,1
2.02002E+11,3,1,2020,Monday,1,1
2.02002E+11,2,1,2020,Friday,3,10
2.02002E+11,2,1,2020,Sunday,1,4
2.02002E+11,2,1,2020,Friday,3,1
2.02002E+11,2,1,2020,Tuesday,2,1
2.02002E+11,3,1,2020,Sunday,1,1
2.02002E+11,3,1,2020,Sunday,1,1
2.02002E+11,3,1,2020,Friday,2,1
2.02002E+11,3,1,2020,Saturday,1,1
2.02002E+11,3,1,2020,Friday,3,2
2.02002E+11,3,1,2020,Wednesday,1,10
2.02002E+11,3,1,2020,Monday,1,1
2.02002E+11,3,2,2020,Thursday,2,1
2.02002E+11,3,2,2020,Monday,1,10
2.02002E+11,3,2,2020,Saturday,3,1
2.02002E+11,3,2,2020,Saturday,1,1
2.02002E+11,3,1,2020,Friday,1,1
2.02002E+11,3,1,2020,Thursday,1,1
2.02002E+11,3,1,2020,Thursday,1,1
2.02002E+11,3,2,2020,Thursday,1,1
2.02002E+11,3,2,2020,Saturday,3,1
2.02002E+11,3,2,2020,Thursday,3,1
2.02002E+11,3,2,2020,Thursday,1,1
2.02002E+11,3,2,2020,Thursday,1,10
2.02002E+11,3,2,2020,Saturday,1,1
2.02002E+11,3,2,2020,Monday,1,1
2.02002E+11,3,2,2020,Tuesday,1,1
2.02002E+11,3,2,2020,Tuesday,1,1
2.02002E+11,3,2,2020,Monday,1,1
2.02002E+11,3,2,2020,Saturday,1,1
2.02002E+11,3,2,2020,Sunday,1,1
2.02002E+11,3,2,2020,Sunday,1,1
2.02002E+11,3,2,2020,Saturday,1,10
2.02002E+11,3,2,2020,Saturday,3,4
2.02002E+11,3,2,2020,Saturday,2,1
2.02002E+11,3,2,2020,Saturday,1,1
2.02002E+11,3,2,2020,Thursday,1,2
2.02002E+11,1,2,2020,Saturday,1,1
2.02002E+11,2,1,2020,Monday,1,10
2.02002E+11,2,2,2020,Wednesday,2,10
2.02002E+11,2,1,2020,Friday,2,2
2.02002E+11,2,2,2020,Sunday,1,1
2.02002E+11,2,2,2020,Friday,2,4
2.02002E+11,3,2,2020,Thursday,1,1
2.02002E+11,3,1,2020,Thursday,1,2
2.02002E+11,4,1,2020,Thursday,1,1
2.02002E+11,4,2,2020,Saturday,1,1
2.02002E+11,4,1,2020,Tuesday,2,10
2.02002E+11,4,2,2020,Wednesday,3,1
2.02002E+11,4,1,2020,Friday,2,1
2.02002E+11,4,2,2020,Tuesday,1,1
2.02002E+11,4,2,2020,Thursday,2,1
2.02002E+11,4,2,2020,Saturday,2,1
2.02002E+11,4,2,2020,Sunday,1,1
2.02002E+11,2,2,2020,Wednesday,2,1
2.02002E+11,3,2,2020,Monday,3,1
2.02002E+11,4,2,2020,Thursday,1,4
2.02002E+11,4,2,2020,Saturday,2,10
2.02002E+11,4,2,2020,Wednesday,2,10
2.02002E+11,4,2,2020,Monday,3,10
2.02002E+11,3,2,2020,Monday,1,10
2.02002E+11,3,2,2020,Friday,1,2
2.02002E+11,3,2,2020,Saturday,2,1
2.02002E+11,2,1,2020,Thursday,3,1
2.02002E+11,2,2,2020,Saturday,3,1
2.02002E+11,2,2,2020,Wednesday,1,10
2.02002E+11,2,2,2020,Sunday,1,4
2.02002E+11,2,2,2020,Thursday,3,1
2.02002E+11,2,2,2020,Friday,1,1
2.02002E+11,3,2,2020,Saturday,1,4
2.02002E+11,3,2,2020,Friday,4,1
2.02002E+11,3,2,2020,Saturday,1,1
2.02002E+11,3,2,2020,Saturday,3,1
2.02002E+11,3,2,2020,Saturday,1,1
2.02002E+11,1,2,2020,Sunday,2,1
2.02002E+11,3,1,2020,Wednesday,3,1
2.02002E+11,2,1,2020,Monday,2,1
2.02002E+11,2,1,2020,Monday,1,10
2.02002E+11,3,1,2020,Monday,1,1
2.02002E+11,2,1,2020,Monday,1,1
2.02002E+11,2,1,2020,Saturday,1,4
2.02002E+11,3,1,2020,Wednesday,2,10
2.02002E+11,3,1,2020,Wednesday,2,1
2.02002E+11,2,1,2020,Thursday,2,1
2.02002E+11,2,1,2020,Tuesday,4,1
2.02002E+11,2,1,2020,Tuesday,1,1
2.02002E+11,4,1,2020,Friday,1,1
2.02002E+11,4,1,2020,Saturday,1,1
2.02002E+11,4,1,2020,Friday,2,1
2.02002E+11,4,1,2020,Tuesday,1,1
2.02002E+11,4,1,2020,Thursday,3,1
2.02002E+11,4,1,2020,Tuesday,2,1
2.02002E+11,4,1,2020,Thursday,1,1
2.02002E+11,2,1,2020,Saturday,3,4
2.02002E+11,2,1,2020,Wednesday,1,10
2.02002E+11,2,1,2020,Monday,1,1
2.02002E+11,3,1,2020,Thursday,6,2
2.02002E+11,2,1,2020,Thursday,2,4
2.02002E+11,2,1,2020,Friday,3,4
2.02002E+11,2,1,2020,Friday,1,1
2.02002E+11,2,1,2020,Thursday,2,1
2.02002E+11,2,1,2020,Wednesday,1,1
2.02002E+11,2,1,2020,Sunday,1,1
2.02002E+11,2,1,2020,Thursday,3,1
